data,texto,retweet,idioma,lugar,pais,sigla,latitude,longitude
2020-03-22 17:41:58,#coronavirus #covid19 #covid_19 🦠 😷 #quarantine #socialdistancing #selfquarantine 🤣🤣 @ Quarantine https://t.co/gzWX6ooVFa,0,it,Montpelier,United States,US,-72.5981195,44.15253213
2020-03-10 07:41:03,Parlamento Europeu debate resposta da UE a Covid-19 em sessão 'minimalista' https://t.co/7dR0Fyzhn0 Em… https://t.co/in3uVmSPoV,0,pt,Lisbon,Portugal,PT,-9.09904258,38.74751841
2020-05-21 01:40:26,"O presidente americano, Donald Trump, afirmou nesta quarta-feira que o uso da cloroquina, remédio contra malária qu… https://t.co/NNdXwNMhbZ",0,pt,Patos,Brazil,BR,-37.2751,-7.0192
2020-04-14 09:35:03,Casos curados voltam a superar novas infeções por Covid-19 na Alemanha https://t.co/JIYMJavaDx Em… https://t.co/bzKh6dNXw2,2,pt,Lisbon,Portugal,PT,-9.09904258,38.74751841
2020-03-19 17:31:28,"Em virtude da propagação da pandemia ocasionada pelo vírus COVID-19, estamos realizando somente expediente interno… https://t.co/9jWiGwcVK8",0,pt,São Gonçalo do Amarante,Brazil,BR,-35.26230358,-5.76908234
2020-04-04 18:59:01,"No meu isolamento social, revendo velhos tempos de piano, meio enferrujado mas esta valendo para arejar a mente. Mi… https://t.co/Qk2hVrx0Pk",0,pt,Manaus,Brazil,BR,-60.0253,-3.11333
2020-02-27 11:37:23,Ministério da Saúde. Epidemiologia. CORONAVÍRUS (COVID-19). Casos só são oficialmente reconhecidos como suspeitos a… https://t.co/GY38qPbgTy,0,pt,Rio de Janeiro,Brazil,BR,-43.1975,-22.908
2020-03-19 23:12:00,"""Quem tem empresa precisa reforçar os cuidados para evitar a proliferação do coronavírus (Covid-19) entre funcionár… https://t.co/7uAUQpeCPu",0,pt,Salvador,Brazil,BR,-38.48899651,-12.9651598
2020-03-24 22:57:18,"Conte comigo! Enquanto o isolamento social for necessário, TODOS os dias diversos conteúdos sobre DOR estarão dispo… https://t.co/hQlWClBhu9",0,pt,Florianópolis,Brazil,BR,-48.5941505,-27.60918268
2020-04-16 04:11:02,Covid-19 o el desvelador silente https://t.co/VFRh5OjK2M,0,es,anto Domingo de Guzmán,Dominican Republic,DO,-69.9485084,18.4596876
2020-04-03 11:08:03,Esgotos podem ajudar a combater Covid-19 https://t.co/4izS7Y1W9P Em https://t.co/MDmhqgtnSp https://t.co/8Kr6w1AN94,0,pt,Lisbon,Portugal,PT,-9.09904258,38.74751841
2020-03-29 18:52:50,Né Alice uma piscina e um sorvete nem cai bem ! Mais nosso amigo #covid19 não ajuda ! em Praia Itanhaem https://t.co/sURRlxxAz9,0,pt,Sao Paulo,Brazil,BR,-46.64942297,-23.59432835
2020-04-09 20:22:02,"↘️ Juazeiro do Norte terá 180 leitos para atender pacientes da Covid-19. O Prefeito de Juazeiro do Norte, Arnon Bez… https://t.co/EfvHE4JaKu",0,pt,Juazeiro do Norte,Brazil,BR,-39.315,-7.21277778
2020-01-14 01:01:54,O isolamento social é um problema cada vez mais comum e com causas muito variáveis. O índice de suicídio em pessoas… https://t.co/1YvBZ3Swpp,0,pt,Salvador,Brazil,BR,-38.52180864,-13.00549888
2020-04-05 20:04:28,"Aquele olhar de quem descobriu que o Presidente fez um chamado para jejum religioso, num país que já está há 3 sema… https://t.co/5T145zn38I",0,pt,São José dos Campos,Brazil,BR,-45.82734194,-23.17961377
2020-03-22 19:29:53,"Evolução da Covid19 em PE, DF, CE e PR @ Recife, Brazil https://t.co/jbiffdar3d",0,pt,Recife,Brazil,BR,-34.9257,-8.0605
2020-04-02 20:35:03,Passa tempo #distanciamentosocial em Vila Comari https://t.co/lNne1OLTGF,0,pt,Rio de Janeiro,Brazil,BR,-43.55827076,-22.91901616
2020-03-03 13:31:04,UE e indústria farmacêutica financiam novos tratamentos para o Covid-19 https://t.co/k6NiYHV1km Em… https://t.co/mMVT19pxSI,1,pt,Lisbon,Portugal,PT,-9.09904258,38.74751841
2020-04-02 21:57:30,"Com o resultado dos exames de sangue realizados nos suspeitos chegando, o número de confirmados naturalmente e infe… https://t.co/90yh4n24vi",0,pt,Fernando Pedroza,Brazil,BR,-36.55,-5.74
2020-01-31 16:57:03,As oito dúvidas sobre o coronavírus https://t.co/RQc0ryAaEp Em https://t.co/MDmhqgtnSp https://t.co/ViXudqXxu3,0,pt,Lisbon,Portugal,PT,-9.09904258,38.74751841
2020-05-22 04:34:25,° 📌 Segundo dia de quarentena. Mais uma visita ao HEB para fazer a medicação prescritas no setor de covid-19 no jov… https://t.co/pDmr96EUJc,0,pt,Apuí,Brazil,BR,-59.892244,-7.1992195
2020-03-21 19:22:14,#coronavirus #dicasdodoutor #cuidese em Rivaldo Emmerich Sociedade Individual de Advocacia https://t.co/N2syreTmg4,0,pt,Sao Paulo,Brazil,BR,-46.7643611,-23.6420626
2020-02-07 17:48:03,OMS preocupada com elevada procura de equipamentos de proteção para coronavírus https://t.co/oQulVepODz Em… https://t.co/fsqGj57wxs,0,pt,Lisbon,Portugal,PT,-9.09904258,38.74751841
2020-03-17 18:53:36,"Sei que existem muitos outros fatores importantes,mas esse isolamento social é preocupante,porém precisamos atentar… https://t.co/QLVGAbutuH",0,pt,Nilópolis,Brazil,BR,-43.4139,-22.8078
